pathway	feature_ids
Aminoacyl-tRNA biosynthesis	TR(UCU)G1
Aminoacyl-tRNA biosynthesis	TI(AAU)B
Aminoacyl-tRNA biosynthesis	tS(GCU)Q1
Aminoacyl-tRNA biosynthesis	tI(AAU)E2
Aminoacyl-tRNA biosynthesis	tI(AAU)E1
Aminoacyl-tRNA biosynthesis	TR(UCU)G3
Aminoacyl-tRNA biosynthesis	TR(UCU)G2
Aminoacyl-tRNA biosynthesis	GRS2
Aminoacyl-tRNA biosynthesis	GRS1
Aminoacyl-tRNA biosynthesis	tS(UGA)Q2
Aminoacyl-tRNA biosynthesis	NAM2
Aminoacyl-tRNA biosynthesis	TN(GUU)O1
Aminoacyl-tRNA biosynthesis	TF(GAA)H1
Aminoacyl-tRNA biosynthesis	TT(AGU)B
Aminoacyl-tRNA biosynthesis	RRS1
Aminoacyl-tRNA biosynthesis	TF(GAA)H2
Aminoacyl-tRNA biosynthesis	tF(GAA)Q
Aminoacyl-tRNA biosynthesis	TN(GUU)P
Aminoacyl-tRNA biosynthesis	tL(CAA)G1
Aminoacyl-tRNA biosynthesis	TA(AGC)P
Aminoacyl-tRNA biosynthesis	TN(GUU)C
Aminoacyl-tRNA biosynthesis	TA(AGC)L
Aminoacyl-tRNA biosynthesis	TN(GUU)F
Aminoacyl-tRNA biosynthesis	TA(AGC)H
Aminoacyl-tRNA biosynthesis	tA(AGC)M1
Aminoacyl-tRNA biosynthesis	tA(AGC)M2
Aminoacyl-tRNA biosynthesis	TM(CAU)C
Aminoacyl-tRNA biosynthesis	TV(CAC)D
Aminoacyl-tRNA biosynthesis	MSF1
Aminoacyl-tRNA biosynthesis	tR(UCU)Q1
Aminoacyl-tRNA biosynthesis	TV(CAC)H
Aminoacyl-tRNA biosynthesis	MSW1
Aminoacyl-tRNA biosynthesis	tK(CUU)G2
Aminoacyl-tRNA biosynthesis	tK(CUU)G1
Aminoacyl-tRNA biosynthesis	tK(CUU)G3
Aminoacyl-tRNA biosynthesis	ILS1
Aminoacyl-tRNA biosynthesis	tS(GCU)O
Aminoacyl-tRNA biosynthesis	tV(UAC)D
